$$Product_Type__c$Component__c$Sub_Component__c,Adjust__c,Clean__c,Component__c,Id,Lubricate__c,Product_Type__c,Repair__c,Replace__c,Sub_Component__c,Verify__c
Elevator;Hall Fixture;Display,true,true,Hall Fixture,a2gDD000002qOD9YAM,false,Elevator,true,true,Display,true
Elevator;Hall Fixture;Indicator,true,true,Hall Fixture,a2gDD000002qODAYA2,false,Elevator,true,true,Indicator,true
Elevator;Hall Fixture;Alarm,true,false,Hall Fixture,a2gDD000002qODBYA2,false,Elevator,true,true,Alarm,true
Elevator;Hall Fixture;Connector,false,false,Hall Fixture,a2gDD000002qODCYA2,false,Elevator,false,true,Connector,true
Elevator;Hall Fixture;Others,true,true,Hall Fixture,a2gDD000002qODDYA2,true,Elevator,true,true,Others,true
Elevator;Hoistway;Hoistway,false,true,Hoistway,a2gDD000002qODEYA2,false,Elevator,false,false,Hoistway,true
Elevator;Hoistway;Guide Rail,true,true,Hoistway,a2gDD000002qODFYA2,true,Elevator,true,true,Guide Rail,true
Elevator;Hoistway;Sheave,true,true,Hoistway,a2gDD000002qODGYA2,false,Elevator,false,true,Sheave,true
Elevator;Hoistway;Bearing,false,false,Hoistway,a2gDD000002qODHYA2,true,Elevator,false,true,Bearing,true
Elevator;Hoistway;Switch,true,true,Hoistway,a2gDD000002qODIYA2,false,Elevator,false,true,Switch,true
Elevator;Hoistway;Lighting,false,true,Hoistway,a2gDD000002qODJYA2,false,Elevator,false,true,Lighting,true
Elevator;Hoistway;Lamp,false,false,Hoistway,a2gDD000002qODKYA2,false,Elevator,false,true,Lamp,true
Elevator;Hoistway;Traveling Cable,true,true,Hoistway,a2gDD000002qODLYA2,false,Elevator,true,true,Traveling Cable,true
Elevator;Hoistway;Others,true,true,Hoistway,a2gDD000002qODMYA2,true,Elevator,true,true,Others,true
Elevator;Pit;Pit,false,true,Pit,a2gDD000002qODNYA2,false,Elevator,false,false,Pit,true
Elevator;Pit;Buffer,true,true,Pit,a2gDD000002qODOYA2,false,Elevator,false,true,Buffer,true
Elevator;Pit;Switch,true,true,Pit,a2gDD000002qODPYA2,false,Elevator,false,true,Switch,true
Elevator;Pit;Ladder,true,true,Pit,a2gDD000002qODQYA2,false,Elevator,true,true,Ladder,true
Elevator;Pit;Others,true,true,Pit,a2gDD000002qODRYA2,true,Elevator,true,true,Others,true
Elevator;Hydro Aggregate;Hydro Aggregate,true,true,Hydro Aggregate,a2gDD000002qOA3YAM,false,Elevator,true,true,Hydro Aggregate,true
Elevator;Hydro Aggregate;Motor,false,true,Hydro Aggregate,a2gDD000002qOA4YAM,false,Elevator,true,true,Motor,true
Elevator;Hydro Aggregate;Pump,false,true,Hydro Aggregate,a2gDD000002qOA5YAM,false,Elevator,true,true,Pump,true
Elevator;Hydro Aggregate;Handpump,true,true,Hydro Aggregate,a2gDD000002qOA6YAM,false,Elevator,true,true,Handpump,true
Elevator;Hydro Aggregate;Heating,true,true,Hydro Aggregate,a2gDD000002qOA7YAM,false,Elevator,true,true,Heating,true
Elevator;Hydro Aggregate;Valve,true,true,Hydro Aggregate,a2gDD000002qOA8YAM,false,Elevator,true,true,Valve,true
Elevator;Hydro Aggregate;Gasket / Seal,false,false,Hydro Aggregate,a2gDD000002qOA9YAM,false,Elevator,true,true,Gasket / Seal,true
Elevator;Hydro Aggregate;Oil,false,false,Hydro Aggregate,a2gDD000002qOAAYA2,false,Elevator,false,true,Oil,true
Elevator;Hydro Aggregate;Others,true,true,Hydro Aggregate,a2gDD000002qOABYA2,true,Elevator,true,true,Others,true
Elevator;Hydraulic Cylinder;Hydraulic Cylinder,true,true,Hydraulic Cylinder,a2gDD000002qOACYA2,false,Elevator,true,true,Hydraulic Cylinder,true
Elevator;Hydraulic Cylinder;Hydraulic Piston,true,true,Hydraulic Cylinder,a2gDD000002qOADYA2,false,Elevator,true,true,Hydraulic Piston,true
Elevator;Brake;Others,true,true,Brake,a2gDD000002qOAXYA2,true,Elevator,true,true,Others,true
Elevator;Controller;Controller,true,true,Controller,a2gDD000002qOAYYA2,false,Elevator,true,true,Controller,true
Elevator;Controller;Electronic Board,true,false,Controller,a2gDD000002qOAZYA2,false,Elevator,true,true,Electronic Board,true
Elevator;Controller;Cable,true,false,Controller,a2gDD000002qOAaYAM,false,Elevator,false,true,Cable,true
Elevator;Controller;Connector,false,false,Controller,a2gDD000002qOAbYAM,false,Elevator,false,true,Connector,true
Elevator;Controller;Fuse,false,false,Controller,a2gDD000002qOAcYAM,false,Elevator,false,true,Fuse,true
Elevator;Controller;Filter,false,true,Controller,a2gDD000002qOAdYAM,false,Elevator,false,true,Filter,true
Elevator;Controller;Relay,false,true,Controller,a2gDD000002qOAeYAM,false,Elevator,false,true,Relay,true
Elevator;Controller;Time Relay,true,false,Controller,a2gDD000002qOAfYAM,false,Elevator,false,true,Time Relay,true
Elevator;Hydraulic Cylinder;Bearing,false,true,Hydraulic Cylinder,a2gDD000002qOAEYA2,true,Elevator,false,true,Bearing,true
Elevator;Hydraulic Cylinder;Sheave,false,true,Hydraulic Cylinder,a2gDD000002qOAFYA2,false,Elevator,false,true,Sheave,true
Elevator;Hydraulic Cylinder;Switch,true,true,Hydraulic Cylinder,a2gDD000002qOAGYA2,false,Elevator,false,true,Switch,true
Elevator;Hydraulic Cylinder;Rupture Valve,true,true,Hydraulic Cylinder,a2gDD000002qOAHYA2,false,Elevator,false,true,Rupture Valve,true
Elevator;Hydraulic Cylinder;Gasket / Seal,false,false,Hydraulic Cylinder,a2gDD000002qOAIYA2,false,Elevator,false,true,Gasket / Seal,true
Elevator;Hydraulic Cylinder;Others,true,true,Hydraulic Cylinder,a2gDD000002qOAJYA2,true,Elevator,true,true,Others,true
Elevator;Motor;Motor,false,true,Motor,a2gDD000002qOAKYA2,false,Elevator,true,true,Motor,true
Elevator;Motor;Bearing,false,true,Motor,a2gDD000002qOALYA2,true,Elevator,false,true,Bearing,true
Elevator;Motor;Stator,false,true,Motor,a2gDD000002qOAMYA2,false,Elevator,true,true,Stator,true
Elevator;Motor;Rotor,false,true,Motor,a2gDD000002qOANYA2,false,Elevator,false,true,Rotor,true
Elevator;Motor;Gasket / Seal,false,false,Motor,a2gDD000002qOAOYA2,false,Elevator,false,true,Gasket / Seal,true
Elevator;Motor;Brush,true,true,Motor,a2gDD000002qOAPYA2,false,Elevator,false,true,Brush,true
Elevator;Motor;Others,true,true,Motor,a2gDD000002qOAQYA2,true,Elevator,true,true,Others,true
Elevator;Brake;Brake,true,true,Brake,a2gDD000002qOARYA2,false,Elevator,true,true,Brake,true
Elevator;Brake;Lining,true,true,Brake,a2gDD000002qOASYA2,false,Elevator,false,true,Lining,true
Elevator;Brake;Switch,true,true,Brake,a2gDD000002qOATYA2,false,Elevator,false,true,Switch,true
Elevator;Brake;Coil,false,true,Brake,a2gDD000002qOAUYA2,false,Elevator,false,true,Coil,true
Elevator;Brake;Magnet,true,true,Brake,a2gDD000002qOAVYA2,true,Elevator,true,true,Magnet,true
Elevator;Brake;Lever,true,true,Brake,a2gDD000002qOAWYA2,true,Elevator,false,true,Lever,true
Elevator;Controller;Contactor,true,true,Controller,a2gDD000002qOAgYAM,false,Elevator,false,true,Contactor,true
Elevator;Controller;Contact,true,true,Controller,a2gDD000002qOAhYAM,false,Elevator,true,true,Contact,true
Elevator;Controller;Rectifier,false,false,Controller,a2gDD000002qOAiYAM,false,Elevator,false,true,Rectifier,true
Elevator;Controller;Transformer,true,false,Controller,a2gDD000002qOAjYAM,false,Elevator,false,true,Transformer,true
Elevator;Controller;Battery,false,false,Controller,a2gDD000002qOAkYAM,false,Elevator,false,true,Battery,true
Elevator;Controller;Ventilator,false,true,Controller,a2gDD000002qOAlYAM,false,Elevator,false,true,Ventilator,true
Elevator;Controller;Remote Monitoring,true,false,Controller,a2gDD000002qOAmYAM,false,Elevator,true,true,Remote Monitoring,true
Elevator;Controller;Circuit Breaker,true,false,Controller,a2gDD000002qOAnYAM,false,Elevator,false,true,Circuit Breaker,true
Elevator;Machine;Machine,true,true,Machine,a2gDD000002qO9vYAE,false,Elevator,true,true,Machine,true
Elevator;Machine;Bearing,false,false,Machine,a2gDD000002qO9wYAE,true,Elevator,false,true,Bearing,true
Elevator;Machine;Sheave,false,true,Machine,a2gDD000002qO9xYAE,true,Elevator,false,true,Sheave,true
